"ID Film",Judul,"Nama Aktor","Durasi Dipinjam","ID Film category","Id Category","Kategori Film"
19,"AMADEUS HOLY",JOHNNY,6,19,1,Action
19,"AMADEUS HOLY",JULIA,6,19,1,Action
19,"AMADEUS HOLY",VAL,6,19,1,Action
19,"AMADEUS HOLY",KIRK,6,19,1,Action
19,"AMADEUS HOLY",JAMES,6,19,1,Action
19,"AMADEUS HOLY",PENELOPE,6,19,1,Action
21,"AMERICAN CIRCUS",KEVIN,3,21,1,Action
21,"AMERICAN CIRCUS",RIP,3,21,1,Action
21,"AMERICAN CIRCUS",SIDNEY,3,21,1,Action
21,"AMERICAN CIRCUS",WARREN,3,21,1,Action
21,"AMERICAN CIRCUS",FRANCES,3,21,1,Action
29,"ANTITRUST TOMATOES",BETTE,5,29,1,Action
29,"ANTITRUST TOMATOES",UMA,5,29,1,Action
29,"ANTITRUST TOMATOES",SIDNEY,5,29,1,Action
29,"ANTITRUST TOMATOES",SALMA,5,29,1,Action
29,"ANTITRUST TOMATOES",WILLIAM,5,29,1,Action
29,"ANTITRUST TOMATOES",RENEE,5,29,1,Action
29,"ANTITRUST TOMATOES",REESE,5,29,1,Action
38,"ARK RIDGEMONT",PARKER,6,38,1,Action
38,"ARK RIDGEMONT",NICK,6,38,1,Action
38,"ARK RIDGEMONT",AUDREY,6,38,1,Action
56,"BAREFOOT MANCHURIAN",JENNIFER,6,56,1,Action
56,"BAREFOOT MANCHURIAN",ELVIS,6,56,1,Action
56,"BAREFOOT MANCHURIAN",MILLA,6,56,1,Action
56,"BAREFOOT MANCHURIAN",KIRK,6,56,1,Action
56,"BAREFOOT MANCHURIAN",DARYL,6,56,1,Action
56,"BAREFOOT MANCHURIAN",ED,6,56,1,Action
56,"BAREFOOT MANCHURIAN",MORGAN,6,56,1,Action
56,"BAREFOOT MANCHURIAN",WILL,6,56,1,Action
67,"BERETS AGENT",GRACE,5,67,1,Action
67,"BERETS AGENT",JULIA,5,67,1,Action
67,"BERETS AGENT",JESSICA,5,67,1,Action
67,"BERETS AGENT",JULIANNE,5,67,1,Action
67,"BERETS AGENT",CATE,5,67,1,Action
67,"BERETS AGENT",ANGELA,5,67,1,Action
67,"BERETS AGENT",IAN,5,67,1,Action
67,"BERETS AGENT",WILLIAM,5,67,1,Action
67,"BERETS AGENT",MERYL,5,67,1,Action
