Nilai Ekspor (Rp.000);;;;;;;
No.;Jenis Ikan;;;;;;Total
;;2016;2017;2018;2019;2020;
1.;Baung Hias;157.280;18.000;0;0;2.760;178.040
2.;kalochroma;22.500;0;0;0;0;22.500
3.;Kulliloach;269.000;300;0;0;223.000;492.300
4.;Rhombo;11.200;2.520;16.000;27.500;0;57.220
5.;Seluang;69.000;26.950;14.500;10.500;152.400;273.350
6.;Silli;3.200;13.515;0;100;4.550;21.365
7.;Gurame Cokelat;52.875;123.000;33.750;164.250;7.500;381.375
8.;Botia;2.021.875;2.668.750;4.166.250;5.040.000;2.715.750;16.612.625
9.;Kerandang;21.385;375;0;70;0;21.830
10.;Julung- julung;51.650;0;0;0;48.900;100.550
11.;Tiger Fish;500;240;0;1.500;180;2.420
12.;Bagarius;225;0;0;0;0;225
13.;Tapah;200;0;0;0;3.500;3.700
14.;Betutu;450;0;0;12.600;15;13.065
15.;Pari;500;0;0;0;75;575
16;Cupang;23.000;57.000;0;1.050;75.510;156.560
17.;Lais Kaca;0;18.000;22.500;0;0;40.500
18.;Sepat Hijau;0;0;0;15.900;30.750;46.650
19.;Appolo Shark;0;0;0;10.000;0;10.000
20.;Ikan Sebelah;0;1.750;0;500;0;2.250
21.;Betutu;0;0;0;126.000;22.755;148.755
22.;Buntal;0;0;0;0;600;600
23.;Flying Fox;0;0;0;0;25.500;25.500
24.;Botia Hijau;0;0;0;0;35.000;35.000
25.;Gabus;0;0;0;0;27.015;27.015
26.;Kepala Kuda;55.000;4.500;0;0;0;59.500
27.;Peyang;0;0;0;0;29.250;29.250
Total;;2.759.840;2.934.900;4.253.000;5.409.970;3.405.010;18.762.720
